StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime	pickup
D0	d	40.00	50.00	0.00	0.00	1236.00	0.00	0.00
S1	f	73.00	52.00	0.00	0.00	1236.00	0.00	0.00
S3	f	55.00	79.00	0.00	0.00	1236.00	0.00	0.00
S4	f	69.00	89.00	0.00	0.00	1236.00	0.00	0.00
S5	f	32.00	80.00	0.00	0.00	1236.00	0.00	0.00
S6	f	39.00	96.00	0.00	0.00	1236.00	0.00	0.00
S13	f	26.00	37.00	0.00	0.00	1236.00	0.00	0.00
S14	f	28.00	13.00	0.00	0.00	1236.00	0.00	0.00
S15	f	39.00	31.00	0.00	0.00	1236.00	0.00	0.00
S16	f	48.00	11.00	0.00	0.00	1236.00	0.00	0.00
S17	f	59.00	17.00	0.00	0.00	1236.00	0.00	0.00
S18	f	73.00	23.00	0.00	0.00	1236.00	0.00	0.00
C2         c          45.0       70.0       30.0       417.0      635.0      90.0              24.0
C6         c          40.0       69.0       20.0       594.0      830.0      90.0              16.0
C7         c          40.0       66.0       20.0       680.0      930.0      90.0              24.0
C10        c          35.0       66.0       10.0       679.0      945.0      90.0              8.0
C11        c          35.0       69.0       10.0       762.0      1048.0     90.0              12.0
C12        c          25.0       85.0       20.0       96.0       308.0      90.0              16.0
C16        c          20.0       85.0       40.0       270.0      504.0      90.0              32.0
C17        c          18.0       75.0       20.0       516.0      828.0      90.0              24.0
C20        c          30.0       50.0       10.0       10.0       249.0      90.0              8.0
C23        c          28.0       55.0       10.0       13.0       241.0      90.0              12.0
C24        c          25.0       50.0       10.0       15.0       283.0      90.0              8.0
C25        c          25.0       52.0       40.0       46.0       344.0      90.0              48.0
C27        c          23.0       52.0       10.0       192.0      382.0      90.0              12.0
C28        c          23.0       55.0       20.0       329.0      619.0      90.0              16.0
C30        c          20.0       55.0       10.0       276.0      486.0      90.0              8.0
C31        c          10.0       35.0       20.0       389.0      595.0      90.0              24.0
C32        c          10.0       40.0       30.0       170.0      438.0      90.0              24.0
C33        c          8.0        40.0       40.0       232.0      560.0      90.0              48.0
C35        c          5.0        35.0       10.0       550.0      830.0      90.0              12.0
C37        c          2.0        40.0       20.0       495.0      693.0      90.0              24.0
C39        c          0.0        45.0       20.0       276.0      538.0      90.0              24.0
C42        c          33.0       32.0       20.0       162.0      366.0      90.0              16.0
C43        c          33.0       35.0       10.0       699.0      939.0      90.0              12.0
C47        c          30.0       35.0       10.0       614.0      838.0      90.0              12.0
C48        c          28.0       30.0       10.0       425.0      655.0      90.0              8.0
C49        c          28.0       35.0       10.0       876.0      1126.0     90.0              12.0
C51        c          25.0       30.0       10.0       723.0      989.0      90.0              12.0
C52        c          25.0       35.0       10.0       883.0      1124.0     90.0              8.0
C58        c          38.0       5.0        30.0       159.0      417.0      90.0              24.0
C60        c          35.0       5.0        20.0       110.0      339.0      90.0              16.0
C62        c          50.0       35.0       20.0       79.0       319.0      90.0              16.0
C67        c          47.0       40.0       10.0       13.0       312.0      90.0              12.0
C68        c          45.0       30.0       10.0       254.0      520.0      90.0              8.0
C69        c          45.0       35.0       10.0       344.0      620.0      90.0              12.0
C71        c          95.0       35.0       20.0       387.0      637.0      90.0              24.0
C72        c          53.0       30.0       10.0       828.0      1030.0     90.0              8.0
C76        c          90.0       35.0       10.0       479.0      735.0      90.0              8.0
C78        c          88.0       35.0       20.0       569.0      829.0      90.0              16.0
C79        c          87.0       30.0       10.0       355.0      597.0      90.0              12.0
C80        c          85.0       25.0       10.0       557.0      769.0      90.0              8.0
C81        c          85.0       35.0       30.0       667.0      917.0      90.0              36.0
C83        c          72.0       55.0       10.0       463.0      711.0      90.0              12.0
C84        c          70.0       58.0       20.0       560.0      800.0      90.0              16.0
C87        c          65.0       55.0       20.0       26.0       263.0      90.0              24.0
C88        c          65.0       60.0       30.0       748.0      984.0      90.0              24.0
C90        c          60.0       55.0       10.0       21.0       274.0      90.0              8.0
C91        c          60.0       60.0       10.0       781.0      1123.0     90.0              12.0
C92        c          67.0       85.0       20.0       367.0      611.0      90.0              16.0
C93        c          65.0       85.0       40.0       439.0      723.0      90.0              48.0
C94        c          65.0       82.0       10.0       284.0      506.0      90.0              8.0
Q Vehicle fuel tank capacity /79.69/
C Vehicle load capacity /200.0/
r fuel consumption rate /1.0/
g inverse refueling rate /3.39/
v average Velocity /1.0/
