StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime	pickup
D0	d	40.00	50.00	0.00	0.00	960.00	0.00	0.00
S2	f	90.00	55.00	0.00	0.00	960.00	0.00	0.00
S3	f	55.00	79.00	0.00	0.00	960.00	0.00	0.00
S4	f	69.00	89.00	0.00	0.00	960.00	0.00	0.00
S5	f	32.00	80.00	0.00	0.00	960.00	0.00	0.00
S6	f	39.00	96.00	0.00	0.00	960.00	0.00	0.00
S7	f	23.00	80.00	0.00	0.00	960.00	0.00	0.00
S11	f	13.00	31.00	0.00	0.00	960.00	0.00	0.00
S12	f	-5.00	38.00	0.00	0.00	960.00	0.00	0.00
S14	f	28.00	13.00	0.00	0.00	960.00	0.00	0.00
S15	f	39.00	31.00	0.00	0.00	960.00	0.00	0.00
S19	f	74.00	32.00	0.00	0.00	960.00	0.00	0.00
C2         c          22.0       75.0       30.0       31.0       550.0      10.0              24.0
C4         c          20.0       80.0       40.0       516.0      913.0      10.0              32.0
C6         c          18.0       75.0       20.0       54.0       582.0      10.0              16.0
C9         c          10.0       35.0       20.0       406.0      916.0      10.0              24.0
C10        c          10.0       40.0       30.0       243.0      689.0      10.0              24.0
C12        c          8.0        45.0       20.0       510.0      917.0      10.0              16.0
C14        c          5.0        45.0       10.0       36.0       525.0      10.0              8.0
C15        c          2.0        40.0       20.0       478.0      910.0      10.0              24.0
C16        c          0.0        40.0       20.0       42.0       543.0      10.0              16.0
C21        c          40.0       5.0        10.0       324.0      840.0      10.0              12.0
C24        c          38.0       15.0       10.0       36.0       490.0      10.0              8.0
C26        c          95.0       30.0       30.0       422.0      891.0      10.0              24.0
C28        c          92.0       30.0       10.0       56.0       557.0      10.0              8.0
C30        c          88.0       30.0       10.0       251.0      701.0      10.0              8.0
C32        c          87.0       30.0       10.0       52.0       522.0      10.0              8.0
C34        c          85.0       35.0       30.0       48.0       534.0      10.0              24.0
C39        c          60.0       80.0       10.0       378.0      913.0      10.0              12.0
C40        c          60.0       85.0       30.0       357.0      787.0      10.0              24.0
C41        c          58.0       75.0       20.0       73.0       561.0      10.0              24.0
C44        c          55.0       82.0       10.0       262.0      758.0      10.0              8.0
C45        c          20.0       82.0       10.0       335.0      912.0      10.0              12.0
C46        c          18.0       80.0       10.0       414.0      912.0      10.0              8.0
C47        c          2.0        45.0       10.0       63.0       575.0      10.0              12.0
C48        c          42.0       5.0        10.0       46.0       550.0      10.0              8.0
C49        c          42.0       12.0       10.0       39.0       515.0      10.0              12.0
C51        c          55.0       20.0       19.0       298.0      786.0      10.0              22.0
C54        c          55.0       60.0       16.0       381.0      853.0      10.0              12.0
C55        c          30.0       60.0       16.0       375.0      935.0      10.0              19.0
C58        c          15.0       10.0       20.0       271.0      735.0      10.0              16.0
C62        c          65.0       35.0       3.0        30.0       507.0      10.0              2.0
C63        c          65.0       20.0       6.0        102.0      650.0      10.0              7.0
C65        c          35.0       40.0       16.0       12.0       451.0      10.0              19.0
C66        c          41.0       37.0       16.0       383.0      905.0      10.0              12.0
C69        c          31.0       52.0       27.0       10.0       488.0      10.0              32.0
C73        c          2.0        60.0       5.0        147.0      553.0      10.0              6.0
C74        c          20.0       20.0       8.0        486.0      913.0      10.0              6.0
C75        c          5.0        5.0        16.0       228.0      660.0      10.0              19.0
C76        c          60.0       12.0       31.0       43.0       529.0      10.0              24.0
C77        c          23.0       3.0        7.0        50.0       551.0      10.0              8.0
C78        c          8.0        56.0       27.0       125.0      699.0      10.0              21.0
C80        c          47.0       47.0       13.0       137.0      681.0      10.0              10.0
C81        c          49.0       58.0       10.0       485.0      937.0      10.0              12.0
C83        c          37.0       31.0       14.0       248.0      738.0      10.0              16.0
C84        c          57.0       29.0       18.0       426.0      922.0      10.0              14.0
C87        c          12.0       24.0       13.0       277.0      605.0      10.0              15.0
C92        c          53.0       43.0       14.0       367.0      935.0      10.0              11.0
C93        c          61.0       52.0       3.0        178.0      576.0      10.0              3.0
C94        c          57.0       48.0       23.0       481.0      932.0      10.0              18.0
C96        c          55.0       54.0       26.0       142.0      532.0      10.0              20.0
C100       c          31.0       67.0       3.0        372.0      684.0      10.0              2.0
Q Vehicle fuel tank capacity /165.63/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.18/
v average Velocity /1.0/
