StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime	pickup
D0	d	35.00	35.00	0.00	0.00	1000.00	0.00	0.00
S0	f	35.00	35.00	0.00	0.00	1000.00	0.00	0.00
S1	f	61.00	37.00	0.00	0.00	1000.00	0.00	0.00
S3	f	47.00	57.00	0.00	0.00	1000.00	0.00	0.00
S4	f	57.00	65.00	0.00	0.00	1000.00	0.00	0.00
S6	f	34.00	71.00	0.00	0.00	1000.00	0.00	0.00
S8	f	7.00	61.00	0.00	0.00	1000.00	0.00	0.00
S11	f	14.00	20.00	0.00	0.00	1000.00	0.00	0.00
S12	f	0.00	26.00	0.00	0.00	1000.00	0.00	0.00
S13	f	24.00	25.00	0.00	0.00	1000.00	0.00	0.00
S14	f	26.00	6.00	0.00	0.00	1000.00	0.00	0.00
S16	f	41.00	5.00	0.00	0.00	1000.00	0.00	0.00
S17	f	50.00	9.00	0.00	0.00	1000.00	0.00	0.00
S18	f	61.00	14.00	0.00	0.00	1000.00	0.00	0.00
S19	f	62.00	21.00	0.00	0.00	1000.00	0.00	0.00
S20	f	74.00	30.00	0.00	0.00	1000.00	0.00	0.00
C1         c          41.0       49.0       10.0       16.0       256.0      10.0              12.0
C4         c          55.0       20.0       19.0       672.0      912.0      10.0              15.0
C9         c          55.0       60.0       16.0       509.0      749.0      10.0              19.0
C11        c          20.0       65.0       12.0       641.0      881.0      10.0              14.0
C12        c          50.0       35.0       19.0       735.0      975.0      10.0              15.0
C13        c          30.0       25.0       23.0       12.0       252.0      10.0              27.0
C14        c          15.0       10.0       20.0       119.0      359.0      10.0              16.0
C15        c          30.0       5.0        8.0        719.0      959.0      10.0              9.0
C16        c          10.0       20.0       19.0       476.0      716.0      10.0              15.0
C18        c          20.0       40.0       12.0       338.0      578.0      10.0              9.0
C19        c          15.0       60.0       17.0       178.0      418.0      10.0              20.0
C21        c          45.0       20.0       11.0       20.0       260.0      10.0              13.0
C23        c          55.0       5.0        29.0       64.0       304.0      10.0              34.0
C24        c          65.0       35.0       3.0        720.0      960.0      10.0              2.0
C25        c          65.0       20.0       6.0        34.0       274.0      10.0              7.0
C26        c          45.0       30.0       17.0       73.0       313.0      10.0              13.0
C27        c          35.0       40.0       16.0       268.0      508.0      10.0              19.0
C28        c          41.0       37.0       16.0       306.0      546.0      10.0              12.0
C29        c          64.0       42.0       9.0        720.0      960.0      10.0              10.0
C31        c          31.0       52.0       27.0       580.0      820.0      10.0              32.0
C32        c          35.0       69.0       23.0       367.0      607.0      10.0              18.0
C33        c          53.0       52.0       11.0       209.0      449.0      10.0              13.0
C34        c          65.0       55.0       14.0       37.0       277.0      10.0              11.0
C35        c          63.0       65.0       8.0        690.0      930.0      10.0              9.0
C36        c          2.0        60.0       5.0        708.0      948.0      10.0              4.0
C37        c          20.0       20.0       8.0        469.0      709.0      10.0              9.0
C39        c          60.0       12.0       31.0       242.0      482.0      10.0              37.0
C40        c          40.0       25.0       9.0        661.0      901.0      10.0              7.0
C41        c          42.0       7.0        5.0        721.0      961.0      10.0              6.0
C42        c          24.0       12.0       5.0        26.0       266.0      10.0              4.0
C45        c          6.0        38.0       16.0       720.0      960.0      10.0              19.0
C46        c          2.0        48.0       1.0        36.0       276.0      10.0              0.0
C47        c          8.0        56.0       27.0       571.0      811.0      10.0              32.0
C48        c          13.0       52.0       36.0       368.0      608.0      10.0              28.0
C49        c          6.0        68.0       30.0       703.0      943.0      10.0              36.0
C50        c          47.0       47.0       13.0       433.0      673.0      10.0              10.0
C51        c          49.0       58.0       10.0       721.0      961.0      10.0              12.0
C52        c          27.0       43.0       9.0        192.0      432.0      10.0              7.0
C54        c          57.0       29.0       18.0       23.0       263.0      10.0              14.0
C57        c          32.0       12.0       7.0        409.0      649.0      10.0              8.0
C58        c          36.0       26.0       18.0       337.0      577.0      10.0              14.0
C59        c          21.0       24.0       28.0       18.0       258.0      10.0              33.0
C60        c          17.0       34.0       3.0        535.0      775.0      10.0              2.0
C62        c          24.0       58.0       19.0       724.0      964.0      10.0              15.0
C63        c          27.0       69.0       10.0       715.0      955.0      10.0              12.0
C66        c          49.0       73.0       25.0       557.0      797.0      10.0              20.0
C68        c          56.0       39.0       36.0       272.0      512.0      10.0              28.0
C69        c          37.0       47.0       6.0        410.0      650.0      10.0              7.0
C70        c          37.0       56.0       5.0        22.0       262.0      10.0              4.0
C73        c          44.0       17.0       9.0        729.0      969.0      10.0              10.0
C75        c          49.0       11.0       18.0       466.0      706.0      10.0              21.0
C76        c          49.0       42.0       13.0       166.0      406.0      10.0              10.0
C77        c          53.0       43.0       14.0       35.0       275.0      10.0              16.0
C78        c          61.0       52.0       3.0        199.0      439.0      10.0              2.0
C79        c          57.0       48.0       23.0       26.0       266.0      10.0              27.0
C81        c          55.0       54.0       26.0       28.0       268.0      10.0              31.0
C82        c          15.0       47.0       16.0       630.0      870.0      10.0              12.0
C83        c          14.0       37.0       11.0       491.0      731.0      10.0              13.0
C86        c          4.0        18.0       35.0       714.0      954.0      10.0              28.0
C87        c          28.0       18.0       26.0       429.0      669.0      10.0              31.0
C88        c          26.0       52.0       9.0        271.0      511.0      10.0              7.0
C89        c          26.0       35.0       15.0       506.0      746.0      10.0              18.0
C91        c          15.0       19.0       1.0        420.0      660.0      10.0              1.0
C92        c          22.0       22.0       2.0        191.0      431.0      10.0              1.0
C93        c          18.0       24.0       22.0       484.0      724.0      10.0              26.0
C94        c          26.0       27.0       27.0       468.0      708.0      10.0              21.0
C95        c          25.0       24.0       20.0       15.0       255.0      10.0              24.0
C97        c          25.0       21.0       12.0       481.0      721.0      10.0              14.0
C98        c          19.0       21.0       10.0       363.0      603.0      10.0              8.0
C99        c          20.0       26.0       9.0        27.0       267.0      10.0              10.0
Q Vehicle fuel tank capacity /198.88/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.15/
v average Velocity /1.0/
